ewas_beta,ewas_p,clpm_beta,clpm_p,converged,sign_opposite
-0.576089608871141,1.44842457062717e-06,0.334098296701784,1.32818200881957e-11,TRUE,TRUE
-0.490553701828441,0.000108098050513131,0.324176486381471,7.04392100203677e-12,TRUE,TRUE
-0.460623292674959,0.000512430625291182,0.247769798701291,1.50492944328562e-06,TRUE,TRUE
-0.5849317196145,1.45082621155478e-05,0.363190178008832,5.53490586696626e-12,TRUE,TRUE
-0.400007666052294,0.00457121911822828,0.269996111555371,5.42261331615279e-07,TRUE,TRUE
-0.277255272675442,0.0106297037731059,0.269114866246797,9.75922852464173e-05,TRUE,TRUE
-0.33257568588381,0.00930896634358839,0.29238085692372,5.27879803424725e-07,TRUE,TRUE
-0.438561684585521,0.0012451957918062,0.245204221935456,1.02549750269354e-06,TRUE,TRUE
-0.576187139381357,2.45884463918035e-05,0.300462947198142,1.90548715028882e-07,TRUE,TRUE
-0.430438725940057,0.00110514492310246,0.322141374578384,4.78031392248113e-10,TRUE,TRUE
-0.453496434481239,0.00133185065904565,0.249041728493671,1.20549696907002e-05,TRUE,TRUE
-0.514650977019842,1.30822747902621e-05,0.376727359902901,4.99844610146738e-12,TRUE,TRUE
-0.450951565416177,0.000172835249439533,0.329630601038712,2.81095005050247e-08,TRUE,TRUE
-0.470490582776399,0.00261798617940835,0.270834818460325,4.86515758790773e-08,TRUE,TRUE
-0.428841903756073,0.000421491311280999,0.333642882249963,4.9608622543218e-08,TRUE,TRUE
-0.252917770878279,0.0746208746345832,0.223803245985501,0.000133502049688206,TRUE,TRUE
-0.418342255095668,0.00733279885282978,0.208866178283117,1.34930860136162e-05,TRUE,TRUE
-0.144620146211858,0.309020730221555,0.17970702264949,3.21372726661551e-05,TRUE,TRUE
-0.237927876760939,0.0257097536680139,0.262285494744279,9.8891966079373e-05,TRUE,TRUE
-0.733348532869042,2.39400514944359e-08,0.297032029166171,3.53676359310384e-08,TRUE,TRUE
-0.373133290792278,0.0010572746020214,0.307404851384228,2.87597930803685e-07,TRUE,TRUE
-0.428502160062635,0.00106087174691751,0.255545328908191,1.00349469485117e-05,TRUE,TRUE
-0.24921304196369,0.0503404097304732,0.302754343973373,1.44262690127128e-06,TRUE,TRUE
-0.549416152552895,3.76982096226483e-06,0.323280326597436,8.60680415826209e-11,TRUE,TRUE
-0.689448678936819,8.58770132792457e-07,0.298043659509144,7.10757008803853e-10,TRUE,TRUE
-0.622431929657052,6.51201869036228e-06,0.347224413108757,7.61612994892857e-14,TRUE,TRUE
-0.443419929238079,0.00019370529770353,0.320120928036053,2.1616201806296e-07,TRUE,TRUE
-0.501806739340388,6.1863248668635e-05,0.387773043519549,3.05977465586693e-13,TRUE,TRUE
-0.418377903981885,0.000845153299007227,0.272224246826384,2.34679746746735e-08,TRUE,TRUE
-0.515226601743636,2.40021636614498e-05,0.322554992560488,5.04722930116941e-11,TRUE,TRUE
-0.441282859489944,0.00129418609968922,0.285247689039394,2.23315243408351e-07,TRUE,TRUE
-0.49680568108232,0.000607662384869798,0.24706358466498,6.48754481247238e-08,TRUE,TRUE
-0.58503597476883,5.57228189159644e-06,0.387739804689432,2.88657986402541e-15,TRUE,TRUE
-0.339488595304039,0.0100432304547509,0.237920068824056,5.08371914698103e-06,TRUE,TRUE
-0.342030549896898,0.0124766024218899,0.273455976156634,1.26194385607903e-06,TRUE,TRUE
-0.476924755452093,0.000234624695833865,0.386920715154366,3.39062111720523e-13,TRUE,TRUE
-0.466840740040392,0.000161753009460109,0.277815555096237,5.57853985228007e-08,TRUE,TRUE
-0.421459045885971,9.54024804764917e-05,0.334558045140156,1.13577163229905e-08,TRUE,TRUE
-0.639673224975628,3.83686357418485e-06,0.284936878892515,7.96784860312982e-12,TRUE,TRUE
-0.500456234259883,0.000213621216791858,0.248588364084691,3.9538703422437e-07,TRUE,TRUE
-0.485874467044846,0.000750908168231255,0.32828559362485,2.78923550922627e-11,TRUE,TRUE
-0.454260883148332,0.00121722405159759,0.290291378430778,1.3735139092752e-07,TRUE,TRUE
-0.546353172885265,4.37307560503428e-05,0.357352881715206,2.64210875400295e-12,TRUE,TRUE
-0.531950772488525,4.39723674741782e-06,0.392425805621696,2.44249065417534e-15,TRUE,TRUE
-0.493650847493408,0.000287344646540584,0.377612074694916,1.20201626430116e-11,TRUE,TRUE
-0.513833624866356,3.41876952789221e-05,0.369755392248054,8.10684852581289e-13,TRUE,TRUE
-0.354728453436663,0.00174732862665783,0.320015279165107,5.9956962505936e-08,TRUE,TRUE
-0.178111807234872,0.187380583991074,0.178072909099146,0.000988010307088505,TRUE,TRUE
-0.717702324404426,2.86057369402368e-07,0.308338794048945,1.19488863248307e-11,TRUE,TRUE
-0.391880284795389,0.00500014731167394,0.279954428686426,5.67487079550233e-09,TRUE,TRUE
-0.369717082321444,0.00563162296615753,0.233504001823082,1.59721631951548e-05,TRUE,TRUE
-0.400037315986176,0.00831949229952558,0.242054261043799,4.6611501134386e-06,TRUE,TRUE
-0.445356198479266,0.000191209063034687,0.290432888866323,1.22969172644538e-06,TRUE,TRUE
-0.512829417288981,3.82790148261865e-05,0.35893978419747,4.86757523177062e-10,TRUE,TRUE
-0.353396706529585,0.0152207215247313,0.287877875157743,1.07927999870583e-09,TRUE,TRUE
-0.48718842181068,1.94934530004464e-05,0.291511310406068,9.34475850034033e-08,TRUE,TRUE
-0.629607619102622,1.56820184604977e-07,0.413204965809424,2.22044604925031e-16,TRUE,TRUE
-0.604848178134894,4.26142247773281e-05,0.287341749234656,4.83372719628505e-09,TRUE,TRUE
-0.44672929487194,0.000117864605576809,0.252227444884766,2.58169431832656e-07,TRUE,TRUE
